Deck,Card Name,Quantity
Charizard,Dusclops,1.0
Charizard,Dusknoir,1.0
Charizard,Fezandipiti ex,1.0
Charizard,Forest Seal Stone,1.0
Charizard,Grand Tree - ACESPEC,1.0
Charizard,Hisuian Heavy Ball,1.0
Charizard,Lost Vacuum,1.0
Charizard,Lumineon V,1.0
Charizard,Manaphy,1.0
Charizard,Night Stretcher,1.0
Charizard,Prime Catcher - ACESPEC,1.0
Charizard,Professor Turo's Scenario,1.0
Charizard,Rotom V,1.0
Charizard,Switch,1.0
Charizard,Thorton,1.0
Chien Pao,Basic Water Energy,9.0
Chien Pao,Buddy-Buddy Poffin,4.0
Chien Pao,Irida,4.0
Chien Pao,Nest Ball,4.0
Chien Pao,Superior Energy Retrieval,4.0
Chien Pao,Frigibax,3.0
Chien Pao,Pokestop,3.0
Chien Pao,Rare Candy,3.0
Chien Pao,Ultra Ball,3.0
Chien Pao,Baxcalibur,2.0
Chien Pao,Bibarel,2.0
Chien Pao,Bidoof,2.0
Chien Pao,Chien-Pao ex,2.0
Chien Pao,Super Rod,2.0
Chien Pao,Boss's Orders,1.0
Chien Pao,Canceling Cologne,1.0
Chien Pao,Ciphermaniac's Codebreaking,1.0
Chien Pao,Counter Catcher,1.0
Chien Pao,Earthen Vessel,1.0
Chien Pao,Hisuian Heavy Ball,1.0
Chien Pao,Iono,1.0
Chien Pao,Iron Bundle,1.0
Chien Pao,Kyogre,1.0
Chien Pao,Manaphy,1.0
Chien Pao,Prime Catcher - ACESPEC,1.0
Chien Pao,Radiant Greninja,1.0
Chien Pao,Switch,1.0
Cinderace,Arven,4.0
Cinderace,Buddy-Buddy Poffin,4.0
Cinderace,Dreepy,4.0
Cinderace,Feather Ball,4.0
Cinderace,Rare Candy,4.0
Cinderace,Scorbunny,4.0
Cinderace,Basic Fire Energy,3.5
Cinderace,Basic Psychic Energy,3.0
Cinderace,Cinderace ex,3.0
Cinderace,Dragapult ex,3.0
Cinderace,Drakloak,3.0
Cinderace,Magma Basin,3.0
Cinderace,Ultra Ball,3.0
Cinderace,Nest Ball,2.5
Cinderace,Basic Darkness Energy,2.0
Cinderace,Basic Fighting Energy,2.0
Cinderace,Double Turbo Energy,2.0
Cinderace,Dusknoir,2.0
Cinderace,Duskull,2.0
Cinderace,Iono,2.0
Cinderace,Night Stretcher,2.0
Cinderace,Pidgey,2.0
Cinderace,Boss's Orders,1.5
Cinderace,Counter Catcher,1.5
Cinderace,Crispin,1.5
Cinderace,Cleffa,1.0
Cinderace,Defiance Band,1.0
Cinderace,Dusclops,1.0
Cinderace,Earthen Vessel,1.0
Cinderace,Fezandipiti ex,1.0
Cinderace,Forest Seal Stone,1.0
Cinderace,Lost Vacuum,1.0
Cinderace,Lumineon V,1.0
Cinderace,Manaphy,1.0
Cinderace,Pidgeot ex,1.0
Cinderace,Professor Turo's Scenario,1.0
Cinderace,Raboot,1.0
Cinderace,Radiant Alakazam,1.0
Cinderace,Radiant Charizard,1.0
Cinderace,Rescue Board,1.0
Cinderace,Rotom V,1.0
Cinderace,Roxanne,1.0
Cinderace,Sparkling Crystal - ACESPEC,1.0
Cinderace,Super Rod,1.0
Cinderace,Switch,1.0
Cinderace,Tatsugiri,1.0
Cinderace,Temple of Sinnoh,1.0
DragaThorns,Arven,4.0
DragaThorns,Basic Fire Energy,4.0
DragaThorns,Basic Psychic Energy,4.0
DragaThorns,Crispin,4.0
DragaThorns,Drakloak,4.0
DragaThorns,Dreepy,4.0
DragaThorns,Hoothoot,4.0
DragaThorns,Noctowl,4.0
DragaThorns,Pokegear 3.0,3.4
DragaThorns,Basic Lightning Energy,2.8
DragaThorns,Iron Thorns ex,2.7142857142857144
DragaThorns,Dragapult,2.5
DragaThorns,Ultra Ball,2.1666666666666665
DragaThorns,Area Zero Underdepths,2.0
DragaThorns,Boss's orders,2.0
DragaThorns,Buddy-buddy Poffin,2.0
DragaThorns,Charizard ex,2.0
DragaThorns,Dragapult ex,2.0
DragaThorns,Fan Rotom,2.0
DragaThorns,Iono,2.0
DragaThorns,Technical Machine: Evolution,2.0
DragaThorns,Terapagos ex,2.0
DragaThorns,Boss's Orders,1.8
DragaThorns,Buddy-Buddy Poffin,1.6
DragaThorns,Nest Ball,1.6
DragaThorns,Night Stretcher,1.5
DragaThorns,Rare Candy,1.5
DragaThorns,Tera Orb,1.3333333333333333
DragaThorns,Basic Darkness Energy,1.0
DragaThorns,Briar,1.0
DragaThorns,Charmander,1.0
DragaThorns,Counter Catcher,1.0
DragaThorns,Dusknoir,1.0
DragaThorns,Duskull,1.0
DragaThorns,Earthen Vessel,1.0
DragaThorns,Energy Switch,1.0
DragaThorns,Entei V,1.0
DragaThorns,Fezandipiti ex,1.0
DragaThorns,Forest Seal Stone,1.0
DragaThorns,Future Booster Energy Capsule,1.0
DragaThorns,Kieran,1.0
DragaThorns,Klefki,1.0
DragaThorns,Lost Vacuum,1.0
DragaThorns,Manaphy,1.0
DragaThorns,Mela,1.0
DragaThorns,Munkidori,1.0
DragaThorns,Pal Pad,1.0
DragaThorns,Precious Trolley - ACESPEC,1.0
DragaThorns,Prime Catcher - ACESPEC,1.0
DragaThorns,Professor Turo's Scenario,1.0
DragaThorns,Professor's Research,1.0
DragaThorns,Radiant Alakazam,1.0
DragaThorns,Rescue Board,1.0
DragaThorns,Super Rod,1.0
DragaThorns,Switch,1.0
DragaThorns,Thorton,1.0
DragaThorns,Toedscool,1.0
DragaThorns,Toedscruel,1.0
DragaThorns,Toedscrul,1.0
Dragapult,Arven,4.0
Dragapult,Buddy-Buddy Poffin,4.0
Dragapult,Dreepy,4.0
Dragapult,Feather Ball,4.0
Dragapult,Rare Candy,4.0
Dragapult,Scorbunny,4.0
Dragapult,Basic Fire Energy,3.3333333333333335
Dragapult,Basic Psychic Energy,3.0
Dragapult,Cinderace ex,3.0
Dragapult,Drakloak,3.0
Dragapult,Magma Basin,3.0
Dragapult,Ultra Ball,3.0
Dragapult,Nest Ball,2.6666666666666665
Dragapult,Basic Darkness Energy,2.0
Dragapult,Basic Fighting Energy,2.0
Dragapult,Double Turbo Energy,2.0
Dragapult,Dragapult ex,2.0
Dragapult,Iono,2.0
Dragapult,Pidgey,2.0
Dragapult,Counter Catcher,1.6666666666666667
Dragapult,Dusknoir,1.5
Dragapult,Duskull,1.5
Dragapult,Earthen Vessel,1.5
Dragapult,Night Stretcher,1.5
Dragapult,Boss's Orders,1.3333333333333333
Dragapult,Crispin,1.3333333333333333
Dragapult,Cleffa,1.0
Dragapult,Defiance Band,1.0
Dragapult,Dusclops,1.0
Dragapult,Fezandipiti ex,1.0
Dragapult,Forest Seal Stone,1.0
Dragapult,Hisuian Heavy Ball,1.0
Dragapult,Lost Vacuum,1.0
Dragapult,Lumineon V,1.0
Dragapult,Manaphy,1.0
Dragapult,Pidgeot ex,1.0
Dragapult,Professor Turo's Scenario,1.0
Dragapult,Raboot,1.0
Dragapult,Radiant Alakazam,1.0
Dragapult,Radiant Charizard,1.0
Dragapult,Rescue Board,1.0
Dragapult,Rotom V,1.0
Dragapult,Roxanne,1.0
Dragapult,Sparkling Crystal - ACESPEC,1.0
Dragapult,Super Rod,1.0
Dragapult,Switch,1.0
Dragapult,Tatsugiri,1.0
Dragapult,Temple of Sinnoh,1.0
Gardevoir,Basic Lightning Energy,9.0
Gardevoir,Basic Psychic Energy,8.0
Gardevoir,Electric Generator,4.0
Gardevoir,Kirlia,4.0
Gardevoir,Buddy-Buddy Poffin,3.8
Gardevoir,Arven,3.5
Gardevoir,Iono,3.0
Gardevoir,Magnemite,3.0
Gardevoir,Ultra Ball,2.5
Gardevoir,Basic Darkness Energy,2.3333333333333335
Gardevoir,Ralts,2.2222222222222223
Gardevoir,Deduction Kit,2.0
Gardevoir,Dusknoir,2.0
Gardevoir,Duskull,2.0
Gardevoir,Earthen Vessel,2.0
Gardevoir,Future Booster Energy Capsule,2.0
Gardevoir,Iron Hands ex,2.0
Gardevoir,Miraidon ex,2.0
Gardevoir,Mist Energy,2.0
Gardevoir,Munkidori,2.0
Gardevoir,Rare Candy,2.0
Gardevoir,Squawkabilly ex,2.0
Gardevoir,Super Rod,2.0
Gardevoir,Trekking Shoes,2.0
Gardevoir,Counter Catcher,1.8
Gardevoir,Nest Ball,1.8
Gardevoir,Artazon,1.6666666666666667
Gardevoir,Bravery Charm,1.6666666666666667
Gardevoir,Professor's Research,1.6666666666666667
Gardevoir,Technical Machine: Evolution,1.6666666666666667
Gardevoir,Gardevoir ex,1.5714285714285714
Gardevoir,Professor Turo's Scenario,1.4
Gardevoir,Drifloon,1.2
Gardevoir,Scream Tail,1.2
Gardevoir,Boss's Orders,1.1666666666666667
Gardevoir,Academy at Night,1.0
Gardevoir,Dusclops,1.0
Gardevoir,Eri,1.0
Gardevoir,Fezandipiti ex,1.0
Gardevoir,Flutter Mane,1.0
Gardevoir,Forest Seal Stone,1.0
Gardevoir,Heavy Baton,1.0
Gardevoir,Hero's Cape - ACESPEC,1.0
Gardevoir,Hisuian Heavy Ball,1.0
Gardevoir,Klefki,1.0
Gardevoir,Lost Vacuum,1.0
Gardevoir,Luxurious Cape,1.0
Gardevoir,Magneton,1.0
Gardevoir,Manaphy,1.0
Gardevoir,Mawile,1.0
Gardevoir,Mimikyu,1.0
Gardevoir,Moonlit Hill,1.0
Gardevoir,Night Stretcher,1.0
Gardevoir,Pokegear 3.0,1.0
Gardevoir,Pokemon League Headquarters,1.0
Gardevoir,Radiant Greninja,1.0
Gardevoir,Raikou V,1.0
Gardevoir,Roxanne,1.0
Gardevoir,Secret Box - ACESPEC,1.0
Gardevoir,Technical Machine: Devolution,1.0
Gardevoir,Town Store,1.0
Gardevoir,Unfair Stamp - ACESPEC,1.0
Greninja,Rare Candy,4.0
Greninja,Basic Lightning Energy,3.5
Greninja,Arven,3.0
Greninja,Basic Water Energy,3.0
Greninja,Crispin,3.0
Greninja,Irida,3.0
Greninja,Nest Ball,3.0
Greninja,Raikou V,3.0
Greninja,Ultra Ball,3.0
Greninja,Basic Grass Energy,2.5
Greninja,Basic Metal Energy,2.5
Greninja,Buddy-Buddy Poffin,2.5
Greninja,Earthen Vessel,2.5
Greninja,Area Zero Underdepths,2.0
Greninja,Boss's Orders,2.0
Greninja,Froakie,2.0
Greninja,Greninja ex,2.0
Greninja,Hoothoot,2.0
Greninja,Night Stretcher,2.0
Greninja,Noctowl,2.0
Greninja,Pidgeot ex,2.0
Greninja,Pidgey,2.0
Greninja,Super Rod,2.0
Greninja,Switch,2.0
Greninja,Trekking Shoes,2.0
Greninja,lono,2.0
Greninja,Bianca's Devotion,1.0
Greninja,Bloodmoon Ursaluna ex,1.0
Greninja,Bravery Charm,1.0
Greninja,Counter Catcher,1.0
Greninja,Double Turbo Energy,1.0
Greninja,Fezandipiti ex,1.0
Greninja,Hisuian Heavy Ball,1.0
Greninja,Hisuian heavy Ball,1.0
Greninja,Latias ex,1.0
Greninja,Penny,1.0
Greninja,Pikachu ex,1.0
Greninja,Powerglass,1.0
Greninja,Radiant Greninja,1.0
Greninja,Sparkling Crystal - ACESPEC,1.0
Greninja,Squawkabilly ex,1.0
Greninja,Tera Orb,1.0
Iron Thorns,Arven,4.0
Iron Thorns,Basic Fire Energy,4.0
Iron Thorns,Basic Psychic Energy,4.0
Iron Thorns,Crispin,4.0
Iron Thorns,Drakloak,4.0
Iron Thorns,Dreepy,4.0
Iron Thorns,Pokegear 3.0,4.0
Iron Thorns,Basic Lightning Energy,2.5
Iron Thorns,Dragapult,2.5
Iron Thorns,Boss's Orders,2.0
Iron Thorns,Boss's orders,2.0
Iron Thorns,Buddy-buddy Poffin,2.0
Iron Thorns,Iono,2.0
Iron Thorns,Iron Thorns ex,2.0
Iron Thorns,Technical Machine: Evolution,2.0
Iron Thorns,Ultra Ball,2.0
Iron Thorns,Night Stretcher,1.5
Iron Thorns,Buddy-Buddy Poffin,1.0
Iron Thorns,Counter Catcher,1.0
Iron Thorns,Earthen Vessel,1.0
Iron Thorns,Energy Switch,1.0
Iron Thorns,Future Booster Energy Capsule,1.0
Iron Thorns,Klefki,1.0
Iron Thorns,Lost Vacuum,1.0
Iron Thorns,Nest Ball,1.0
Iron Thorns,Precious Trolley - ACESPEC,1.0
Iron Thorns,Professor Turo's Scenario,1.0
Iron Thorns,Radiant Alakazam,1.0
Iron Thorns,Rare Candy,1.0
Iron Thorns,Rescue Board,1.0
Iron Thorns,Tera Orb,1.0
Iron Thorns,Toedscool,1.0
Iron Thorns,Toedscruel,1.0
Iron Thorns,Toedscrul,1.0
Kingdra,Basic Water Energy,12.0
Kingdra,Rare Candy,4.0
Kingdra,Buddy-Buddy Poffin,3.0
Kingdra,Earthen Vessel,3.0
Kingdra,Irida,3.0
Kingdra,Baxcalibur,2.0
Kingdra,Boss's Orders,2.0
Kingdra,Frigibax,2.0
Kingdra,Froakie,2.0
Kingdra,Frogadier,2.0
Kingdra,Greninja ex,2.0
Kingdra,Jacq,2.0
Kingdra,Kingra ex,2.0
Kingdra,Superior Energy Retrieval,2.0
Kingdra,Switch,2.0
Kingdra,Tera Orb,2.0
Kingdra,Horsea,1.3333333333333333
Kingdra,Arctibax,1.0
Kingdra,Iono,1.0
Kingdra,Lady,1.0
Kingdra,Lake Acuity,1.0
Kingdra,Lost Vacuum,1.0
Kingdra,Prime Catcher - ACESPEC,1.0
Kingdra,Radiant Greninja,1.0
Kingdra,Seadra,1.0
Kingdra,Super Rod,1.0
Lost Box,Buddy-buddy Poffin,4.0
Lost Box,Colress's Experiment,4.0
Lost Box,Comfey,4.0
Lost Box,Mirage Gate,4.0
Lost Box,Nest Ball,4.0
Lost Box,Super Rod,3.5
Lost Box,Switch,3.5
Lost Box,Switch Cart,3.5
Lost Box,Basic Water Energy,3.0
Lost Box,Buddy-Buddy Poffin,3.0
Lost Box,Pokestop,2.5
Lost Box,Basic Grass Energy,2.0
Lost Box,Basic Lightning Energy,2.0
Lost Box,Basic Metal Energy,2.0
Lost Box,Lost Vacuum,2.0
Lost Box,Night Stretcher,1.5
Lost Box,Basic Psychic Energy,1.0
Lost Box,Bloodmoon Ursaluna ex,1.0
Lost Box,Boss's Orders,1.0
Lost Box,Canceling Cologne,1.0
Lost Box,Cramorant,1.0
Lost Box,Fezandipiti ex,1.0
Lost Box,Hisuian Heavy Ball,1.0
Lost Box,Iron Hands ex,1.0
Lost Box,Manaphy,1.0
Lost Box,Pal Pad,1.0
Lost Box,Pikachu ex,1.0
Lost Box,Prime Catcher - ACESPEC,1.0
Lost Box,Radiant Greninja,1.0
Lost Box,Rescue Board,1.0
Lost Box,Roxanne,1.0
Lost Box,Sableye,1.0
Lugia,Archeops,4.0
Lugia,Arven,4.0
Lugia,Boss's Orders,4.0
Lugia,Capturing Aroma,4.0
Lugia,Double Turbo Energy,4.0
Lugia,Gift Energy,4.0
Lugia,Jet Energy,4.0
Lugia,Ultra Ball,4.0
Lugia,Lugia V,3.0
Lugia,Lugia VSTAR,3.0
Lugia,Mist Energy,3.0
Lugia,Nest Ball,3.0
Lugia,Cinccino,2.5
Lugia,Minccino,2.5
Lugia,Professor's Research,2.5
Lugia,Iono,2.0
Lugia,Lumineon V,2.0
Lugia,Mesagoza,2.0
Lugia,Bloodmoon Ursaluna ex,1.0
Lugia,Brilliant Blender - ACESPEC,1.0
Lugia,Canceling Cologne,1.0
Lugia,Flutter Mane,1.0
Lugia,Iron Hands ex,1.0
Lugia,Jacq,1.0
Lugia,Legacy Energy - ACESPEC,1.0
Lugia,Squawkabilly ex,1.0
Lugia,V-Guard Energy,1.0
Lugia,Vitality Band,1.0
Lugia,Wyrdeer V,1.0
Meowscarada,Basic Grass Energy,9.0
Meowscarada,Rare Candy,4.0
Meowscarada,Buddy-Buddy Poffin,3.0
Meowscarada,Dudunsparce,3.0
Meowscarada,Dunsparce,3.0
Meowscarada,Energy Retrieval,3.0
Meowscarada,Meowscarada ex,3.0
Meowscarada,Sprigatito,3.0
Meowscarada,Arven,2.0
Meowscarada,Boss's Orders,2.0
Meowscarada,Double Turbo Energy,2.0
Meowscarada,Earthen Vessel,2.0
Meowscarada,Floragato,2.0
Meowscarada,Iono,2.0
Meowscarada,Nest Ball,2.0
Meowscarada,Professor's Research,2.0
Meowscarada,Switch,2.0
Meowscarada,Ultra Ball,2.0
Meowscarada,Artazon,1.0
Meowscarada,Grand Tree - ACESPEC,1.0
Meowscarada,Radiant Alakazam,1.0
Meowscarada,Rotom V,1.0
Meowscarada,Super Rod,1.0
Meowscarada,Technical Machine: Evolution,1.0
Miraidon,Basic Lightning Energy,9.0
Miraidon,Basic Psychic Energy,7.0
Miraidon,Buddy-Buddy Poffin,4.0
Miraidon,Electric Generator,4.0
Miraidon,Kirlia,4.0
Miraidon,Arven,3.5
Miraidon,Magnemite,3.0
Miraidon,Ultra Ball,3.0
Miraidon,Deduction Kit,2.0
Miraidon,Dusknoir,2.0
Miraidon,Duskull,2.0
Miraidon,Earthen Vessel,2.0
Miraidon,Future Booster Energy Capsule,2.0
Miraidon,Gardevoir ex,2.0
Miraidon,Iono,2.0
Miraidon,Iron Hands ex,2.0
Miraidon,Miraidon ex,2.0
Miraidon,Mist Energy,2.0
Miraidon,Nest Ball,2.0
Miraidon,Professor Turo's Scenario,2.0
Miraidon,Professor's Research,2.0
Miraidon,Ralts,2.0
Miraidon,Rare Candy,2.0
Miraidon,Squawkabilly ex,2.0
Miraidon,Super Rod,2.0
Miraidon,Boss's Orders,1.5
Miraidon,Bravery Charm,1.5
Miraidon,Counter Catcher,1.5
Miraidon,Academy at Night,1.0
Miraidon,Drifloon,1.0
Miraidon,Dusclops,1.0
Miraidon,Fezandipiti ex,1.0
Miraidon,Forest Seal Stone,1.0
Miraidon,Heavy Baton,1.0
Miraidon,Hisuian Heavy Ball,1.0
Miraidon,Klefki,1.0
Miraidon,Magneton,1.0
Miraidon,Night Stretcher,1.0
Miraidon,Pokegear 3.0,1.0
Miraidon,Pokemon League Headquarters,1.0
Miraidon,Radiant Greninja,1.0
Miraidon,Raikou V,1.0
Miraidon,Roxanne,1.0
Miraidon,Scream Tail,1.0
Miraidon,Secret Box - ACESPEC,1.0
Miraidon,Technical Machine: Devolution,1.0
Miraidon,Technical Machine: Evolution,1.0
Palafin,Basic Water Energy,10.0
Palafin,Finizen,4.0
Palafin,Iono,4.0
Palafin,Irida,4.0
Palafin,Palafin ex,4.0
Palafin,Buddy-Buddy Poffin,3.0
Palafin,Palafin,3.0
Palafin,Switch,3.0
Palafin,Ultra Ball,3.0
Palafin,Abra,2.0
Palafin,Boss's Orders,2.0
Palafin,Gastly,2.0
Palafin,Gengar,2.0
Palafin,Kieran,2.0
Palafin,Luminous Energy,2.0
Palafin,Arven,1.0
Palafin,Bloodmoon Ursaluna ex,1.0
Palafin,Energy Retrieval,1.0
Palafin,Energy Search,1.0
Palafin,Haunter,1.0
Palafin,Hero's Cape - ACESPEC,1.0
Palafin,Lana's Aid,1.0
Palafin,Rare Candy,1.0
Palafin,Super Rod,1.0
Pidgeot Control,Rare Candy,4.0
Pidgeot Control,Arven,3.0
Pidgeot Control,Buddy-Buddy Poffin,3.0
Pidgeot Control,Counter Catcher,3.0
Pidgeot Control,Reversal Energy,3.0
Pidgeot Control,Ultra Ball,3.0
Pidgeot Control,Crobat,2.0
Pidgeot Control,Defiance Band,2.0
Pidgeot Control,Duskull,2.0
Pidgeot Control,Luxray,2.0
Pidgeot Control,Morty's Conviction,2.0
Pidgeot Control,Nest Ball,2.0
Pidgeot Control,Night Stretcher,2.0
Pidgeot Control,Pidgeot ex,2.0
Pidgeot Control,Pidgey,2.0
Pidgeot Control,Zubat,2.0
Pidgeot Control,Bloodmoon Ursaluna ex,1.0
Pidgeot Control,Boss's Orders,1.0
Pidgeot Control,Double Turbo Energy,1.0
Pidgeot Control,Dusclops,1.0
Pidgeot Control,Dusknoir,1.0
Pidgeot Control,Feather Ball,1.0
Pidgeot Control,Fezandipiti ex,1.0
Pidgeot Control,Forest Seal Stone,1.0
Pidgeot Control,Genesect,1.0
Pidgeot Control,Hawlucha,1.0
Pidgeot Control,Hisuian Heavy Ball,1.0
Pidgeot Control,Lost Vacuum,1.0
Pidgeot Control,Lumineon V,1.0
Pidgeot Control,Manaphy,1.0
Pidgeot Control,Maximum Belt - ACESPEC,1.0
Pidgeot Control,Meddling Memo,1.0
Pidgeot Control,Rotom V,1.0
Pidgeot Control,Switch,1.0
Pidgeot Control,Thorton,1.0
Pidgeot Control,Xerosic's Machinations,1.0
Pikachu,Rare Candy,4.0
Pikachu,Basic Lightning Energy,3.5
Pikachu,Arven,3.0
Pikachu,Basic Water Energy,3.0
Pikachu,Crispin,3.0
Pikachu,Irida,3.0
Pikachu,Nest Ball,3.0
Pikachu,Raikou V,3.0
Pikachu,Ultra Ball,3.0
Pikachu,Basic Grass Energy,2.5
Pikachu,Basic Metal Energy,2.5
Pikachu,Buddy-Buddy Poffin,2.5
Pikachu,Earthen Vessel,2.5
Pikachu,Area Zero Underdepths,2.0
Pikachu,Boss's Orders,2.0
Pikachu,Froakie,2.0
Pikachu,Greninja ex,2.0
Pikachu,Hoothoot,2.0
Pikachu,Night Stretcher,2.0
Pikachu,Noctowl,2.0
Pikachu,Pidgeot ex,2.0
Pikachu,Pidgey,2.0
Pikachu,Super Rod,2.0
Pikachu,Switch,2.0
Pikachu,Trekking Shoes,2.0
Pikachu,lono,2.0
Pikachu,Bianca's Devotion,1.0
Pikachu,Bloodmoon Ursaluna ex,1.0
Pikachu,Bravery Charm,1.0
Pikachu,Counter Catcher,1.0
Pikachu,Double Turbo Energy,1.0
Pikachu,Fezandipiti ex,1.0
Pikachu,Hisuian Heavy Ball,1.0
Pikachu,Hisuian heavy Ball,1.0
Pikachu,Latias ex,1.0
Pikachu,Penny,1.0
Pikachu,Pikachu ex,1.0
Pikachu,Powerglass,1.0
Pikachu,Radiant Greninja,1.0
Pikachu,Sparkling Crystal - ACESPEC,1.0
Pikachu,Squawkabilly ex,1.0
Pikachu,Tera Orb,1.0
Raging Bolt,Basic Grass Energy,6.0
Raging Bolt,Earthen Vessel,4.0
Raging Bolt,Professor Sada's Vitality,4.0
Raging Bolt,Teal Mask Ogerpon ex,4.0
Raging Bolt,Basic Fighting Energy,3.0
Raging Bolt,Basic Lightning Energy,3.0
Raging Bolt,Energy Retrieval,3.0
Raging Bolt,Nest Ball,3.0
Raging Bolt,Pokemon Catcher,3.0
Raging Bolt,Raging Bolt ex,3.0
Raging Bolt,Trekking Shoes,3.0
Raging Bolt,Pokegear 3.0,2.0
Raging Bolt,Pokestop,2.0
Raging Bolt,Switch Cart,2.0
Raging Bolt,Ancient Booster Energy Capsule,1.0
Raging Bolt,Boss's Orders,1.0
Raging Bolt,Bravery Charm,1.0
Raging Bolt,Briar,1.0
Raging Bolt,Crispin,1.0
Raging Bolt,Fezandipiti ex,1.0
Raging Bolt,Hoothoot,1.0
Raging Bolt,Iono,1.0
Raging Bolt,Miracle Headset - ACESPEC,1.0
Raging Bolt,Night Stretcher,1.0
Raging Bolt,Noctowl,1.0
Raging Bolt,Pal Pad,1.0
Raging Bolt,Radiant Greninja,1.0
Raging Bolt,Squawkabilly ex,1.0
Raging Bolt,Super Rod,1.0
Regidrago,Basic Grass Energy,6.666666666666667
Regidrago,Energy Switch,4.0
Regidrago,Nest Ball,4.0
Regidrago,Professor's Research,4.0
Regidrago,Ultra Ball,4.0
Regidrago,Earthen Vessel,3.6666666666666665
Regidrago,Regidrago VSTAR,3.0
Regidrago,Basic Fire Energy,2.6666666666666665
Regidrago,Regidrago V,2.25
Regidrago,Teal Mask Ogerpon ex,2.25
Regidrago,Boss's Orders,2.0
Regidrago,Iono,2.0
Regidrago,Super Rod,1.6666666666666667
Regidrago,Alolan Exeggutor ex,1.0
Regidrago,Canceling Cologne,1.0
Regidrago,Cleffa,1.0
Regidrago,Dragapult ex,1.0
Regidrago,Dragonite,1.0
Regidrago,Dragpult ex,1.0
Regidrago,Fezandipiti ex,1.0
Regidrago,Giratina VSTAR,1.0
Regidrago,Haxorus,1.0
Regidrago,Hisuian Goodra VSTAR,1.0
Regidrago,Hoothoot,1.0
Regidrago,Jamming Tower,1.0
Regidrago,Kyurem,1.0
Regidrago,Mew ex,1.0
Regidrago,Night Stretcher,1.0
Regidrago,Noctowl,1.0
Regidrago,Noivern ex,1.0
Regidrago,Prime Catcher - ACESPEC,1.0
Regidrago,Radiant Charizard,1.0
Regidrago,Squawkabilly ex,1.0
Regidrago,Superior Energy Retrieval,1.0
Regidrago,Switch,1.0
Regidrago,Temple of Sinnoh,1.0
